ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
Main codec camera,,Camera,,B1AB41D00291,,,,107428,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5562,,,,107428,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00104,TANDBERG Codec C40,9501439,V04.BUT.TMD.CRT.B1.EXAM22,107429,Telehealth Patient Cart System,Specialty,7908,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.197.34,4
Main codec camera,,Camera,,B1AB41D00714,,,,107429,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5560,,,,107429,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV39D00031,TANDBERG Codec C40,9501425,V04.BUT.TMH.SCC2.CRANBERRY.CBOC,107430,Telehealth Patient Cart System,Specialty,7923,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.219.68,4
Main codec camera,,Camera,,B1AB41D00788,,,,107430,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5536,,,,107430,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV36D00089,TANDBERG Codec C40,9501437,V04.BUT.TMH.SCC3.MERCER.CBOC,107431,Telehealth Patient Cart System,Specialty,7934,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.219.4,4
Main codec camera,,Camera,,B1AB41D00296,,,,107431,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5548,,,,107431,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00143,TANDBERG Codec C40,9501436,V04.BUT.TMH.SCC4.LAWRENCE.CBOC,107432,Telehealth Patient Cart System,Specialty,7933,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.219.36,4
Main codec camera,,Camera,,B1AB41D00724,,,,107432,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5535,,,,107432,Telehealth Patient Cart System,Specialty,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00065,TANDBERG Codec C40,9501434,V04.BUT.TMH.BLDG1.RM.315WS,107433,Telehealth Patient Cart System,Education,7922,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.146.74,4
Main codec camera,,Camera,,B1AB41D00758,,,,107433,Telehealth Patient Cart System,Education,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00004,TANDBERG Codec C40,9501433,V04.BUT.TMH.BLDG1.RM.218WS,107434,Telehealth Patient Cart System,Education,7921,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,10.32.144.62,4
Main codec camera,,Camera,,B1AB41D00739,,,,107434,Telehealth Patient Cart System,Education,,529,BUTLER VA MEDICAL CENTER 529,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00046,TANDBERG Codec C40,9547730,V04.ERI.CBOC.BRADFORD.GRP.RM2,107435,Telehealth Patient Cart System,Education,7824,562,ERIE VA MEDICAL CENTER 562,529-C15222,,10.33.150.228,4
Main codec camera,,Camera,,B1AB41D00715,,,,107435,Telehealth Patient Cart System,Education,,562,ERIE VA MEDICAL CENTER 562,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV41D00130,TANDBERG Codec C40,9547711,V04.ERI.BHH.RM.236,107436,Telehealth Patient Cart System,Education,32484,562,ERIE VA MEDICAL CENTER 562,529-C15222,,10.33.129.108,4
Main codec camera,,Camera,,B1AB41D00743,,,,107436,Telehealth Patient Cart System,Education,,562,ERIE VA MEDICAL CENTER 562,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV42D00012,TANDBERG Codec C40,9501552,V04.ERI.EDU.2ND.FLOOR,107437,Telehealth Patient Cart System,Education,7810,562,ERIE VA MEDICAL CENTER 562,529-C15222,,10.33.129.102,4
Main codec camera,,Camera,,B1AB40D00161,,,,107437,Telehealth Patient Cart System,Education,,562,ERIE VA MEDICAL CENTER 562,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00198,,,,107438,Telehealth Patient Cart System,Education,,562,ERIE VA MEDICAL CENTER 562,529-C15222,,,4
Main codec camera,,Camera,,B1AB41D00394,,,,107438,Telehealth Patient Cart System,Education,,562,ERIE VA MEDICAL CENTER 562,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00189,TANDBERG Codec C40,9500065,V01.BHS.TMH.BOS.B1.A9-90,107439,Telehealth Patient Cart System,Education,9769,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.216.5,1
Main codec camera,,Camera,,B1AB40D00093,,,,107439,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00132,TANDBERG Codec C40,9500063,V01.BHS.TMH.BRK.B4.A203B,107440,Telehealth Patient Cart System,Education,18354,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.168.250,1
Main codec camera,,Camera,,B1AB39D00378,,,,107440,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00105,TANDBERG Codec C40,9500077,V01.BHS.TMD.BRK.B8.A139B,107441,Telehealth Patient Cart System,Education,12527,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.168.240,1
Main codec camera,,Camera,,B1AB39D00298,,,,107441,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00150,TANDBERG Codec C40,9500067,V01.BHS.TMH.CBOC.CAU.B1.122,107442,Telehealth Patient Cart System,Education,9883,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.222.70,1
Main codec camera,,Camera,,B1AB40D00033,,,,107442,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00107,,,,107443,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00044,,,,107443,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00159,TANDBERG Codec C40,9500098,V01.BHS.TMD.BRK.B3.B330,107444,Telehealth Patient Cart System,Education,19681,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.168.221,1
Main codec camera,,Camera,,B1AB40D00008,,,,107444,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00109,TANDBERG Codec C40,9500083,V01.BHS.TMH.CBOC.PLY.B1.114,107445,Telehealth Patient Cart System,Education,13669,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.233.72,1
Main codec camera,,Camera,,B1AB40D00014,,,,107445,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00149,TANDBERG Codec C40,9500076,V01.BHS.TMH.BRK.B22.C223,107446,Telehealth Patient Cart System,Education,11115,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.168.248,1
Main codec camera,,Camera,,B1AB40D00042,,,,107446,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00104,TANDBERG Codec C40,9500057,V01.BHS.TMH.CBOC.CAU.B1.237,107447,Telehealth Patient Cart System,Education,10753,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.222.73,1
Main codec camera,,Camera,,B1AB40D00054,,,,107447,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00152,TANDBERG Codec C40,9500207,V01.NHM.CBOC.WOR.R143,107448,Telehealth Patient Cart System,Education,10170,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.13.127.246,1
Main codec camera,,Camera,,B1AB40D00031,,,,107448,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00103,TANDBERG Codec C40,9500079,V01.BHS.TMH.BOS.B1.11C-31,107449,Telehealth Patient Cart System,Education,12905,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.216.12,1
Main codec camera,,Camera,,B1AB40D00030,,,,107449,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00160,TANDBERG Codec C40,9500069,V01.BHS.TMD.CBOC.CAU.B1.318,107450,Telehealth Patient Cart System,Education,10248,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.222.75,1
Main codec camera,,Camera,,B1AB39D00397,,,,107450,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00157,TANDBERG Codec C40,9500068,V01.BHS.TMH.WRX.B1.R1D-102,107451,Telehealth Patient Cart System,Education,10012,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.126.13,1
Main codec camera,,Camera,,B1AB40D00041,,,,107451,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00138,TANDBERG Codec C40,9500075,V01.BHS.TMH.WRX.B2.AG61,107452,Telehealth Patient Cart System,Education,11100,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.126.16,1
Main codec camera,,Camera,,B1AB40D00020,,,,107452,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00110,TANDBERG Codec C40,9500081,V01.BHS.TMD.CBOC.PLY.B1.104,107453,Telehealth Patient Cart System,Education,13197,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.233.69,1
Main codec camera,,Camera,,B1AB40D00016,,,,107453,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00305,,,,107454,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00050,,,,107454,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00112,TANDBERG Codec C40,9500074,V01.BHS.TMH.CBOC.LOW.B1.123,107455,Telehealth Patient Cart System,Education,11066,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.223.72,1
Main codec camera,,Camera,,B1AB40D00045,,,,107455,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00161,TANDBERG Codec C40,9500088,V01.BHS.TMD.BRK.B3.B207-B,107456,Telehealth Patient Cart System,Education,15924,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.168.233,1
Main codec camera,,Camera,,B1AB41D00320,,,,107456,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV32D00074,TANDBERG Codec C40,9500070,V01.BHS.TMD.CBOC.CAU.B1.355,107457,Telehealth Patient Cart System,Education,10251,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.222.77,1
Main codec camera,,Camera,,B1AB40D00053,,,,107457,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV50D00495,,,,107458,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00015,,,,107458,Telehealth Patient Cart System,Education,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00160,TANDBERG Codec C40,9501322,V04.WBP.TMH.SOPC.DIABETES.EC,107459,Telehealth Patient Cart System,Education,8793,693,Wilkes-Barre VA Medical Center,529-C15222,,10.38.110.106,4
Main codec camera,,Camera,,B1AB40D00115,,,,107459,Telehealth Patient Cart System,Education,,693,Wilkes-Barre VA Medical Center,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV37D00109,TANDBERG Codec C40,9501205,V04.WIM.TMD.CRT.CBOC.NORTHFIELD2,107460,Telehealth Patient Cart System,Education,8876,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.17.197,4
Main codec camera,,Camera,,B1AB40D00234,,,,107460,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00002,TANDBERG Codec C40,9501519,V04.WIM.CBOC.GEORGETOWN.EDU.CRT.RM194,107461,Telehealth Patient Cart System,Education,10858,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.162,4
Main codec camera,,Camera,,B1AB41D00396,,,,107461,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00476,TANDBERG Codec C40,9501514,V04.WIM.CBOC.DOVER.EDU.CRT.RM243,107462,Telehealth Patient Cart System,Education,9434,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.194,4
Main codec camera,,Camera,,B1AB40D00135,,,,107462,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00006,TANDBERG Codec C40,9501293,V04.WIM.EDU.CRT.B1.RM,107463,Telehealth Patient Cart System,Education,9455,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.110.140,4
Main codec camera,,Camera,,B1AB41D00176,,,,107463,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV37D00044,TANDBERG Codec C40,9501284,V04.WIM.TMD.B1.7FL.R7070,107464,Telehealth Patient Cart System,Education,9431,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.110.131,4
Main codec camera,,Camera,,B1AB41D00388,,,,107464,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00011,TANDBERG Codec C40,9501292,V04.WIM.EDU.CRT.B1Rm1261,107465,Telehealth Patient Cart System,Education,9454,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.110.136,4
Main codec camera,,Camera,,B1AB40D00202,,,,107465,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00266,TANDBERG Codec C40,9501279,V04.WIM.TMD.CRT.CBOC.VINELANDRm129,107466,Telehealth Patient Cart System,Education,9342,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.229,4
Main codec camera,,Camera,,B1AB40D00216,,,,107466,Telehealth Patient Cart System,Education,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00166,,,,107467,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00060,,,,107468,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00023,,,,107468,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00078,,,,107469,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Main codec camera,,Camera,,B1AB39D00257,,,,107469,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,FTT190800Q5,,,,107470,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00134,TANDBERG Codec C40,9500226,V01.NHM.CBOC.GOPC.R128,107471,Telehealth Patient Cart System,Education,20922,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.185.8,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00137,TANDBERG Codec C40,9500208,V01.NHM.CBOC.GOPC.R126,107472,Telehealth Patient Cart System,Education,9344,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.185.3,1
Main codec camera,,Camera,,B1AB40D00027,,,,107472,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00060,TANDBERG Codec C40,9500202,V01.NHM.CBOC.SOPC.R161,107473,Telehealth Patient Cart System,Education,9340,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.181.37,1
Main codec camera,,Camera,,B1AB40D00066,,,,107473,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV33D00031,TANDBERG Codec C40,9500212,V01.NHM.CRT.B1.R1282,107474,Telehealth Patient Cart System,Education,10502,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.223.18,1
Main codec camera,,Camera,,B1AB40D00038,,,,107474,Telehealth Patient Cart System,Education,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00079,,,,107475,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00026,,,,107475,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00111,TANDBERG Codec C40,9500257,V01.PRO.TMD.B001.616-1,107476,Telehealth Patient Cart System,Education,9440,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.116,1
Main codec camera,,Camera,,B1AB39D00341,,,,107476,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00188,TANDBERG Codec C40,9500258,V01.PRO.TMD.B001.R327,107477,Telehealth Patient Cart System,Education,9604,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.114,1
Main codec camera,,Camera,,B1AB40D00077,,,,107477,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00200,TANDBERG Codec C40,9500253,V01.PRO.TMD.B032.R145,107478,Telehealth Patient Cart System,Education,8740,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.111,1
Main codec camera,,Camera,,B1AB40D00071,,,,107478,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00195,TANDBERG Codec C40,9541325,V01.PRO.TMD.NB.R01,107479,Telehealth Patient Cart System,Education,8517,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.38,1
Main codec camera,,Camera,,B1AB40D00001,,,,107479,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00102,TANDBERG Codec C40,9541331,V01.PRO.TMD.B001.R616,107480,Telehealth Patient Cart System,Education,10464,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.118,1
Main codec camera,,Camera,,B1AB40D00022,,,,107480,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00074,,,,107481,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00084,,,,107481,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV28E00209,TANDBERG Codec C40,9500252,V01.PRO.TMD.T32.R005,107482,Telehealth Patient Cart System,Education,30358,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.115,1
Main codec camera,,Camera,,B1AB40D00013,,,,107482,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00133,TANDBERG Codec C40,9541333,V01.PRO.TMD.B001.R151-2,107483,Telehealth Patient Cart System,Education,14439,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.198.121,1
Main codec camera,,Camera,,B1AB39D00474,,,,107483,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00083,TANDBERG Codec C40,9541327,V01.PRO.TMD.HYN.R01,107484,Telehealth Patient Cart System,Education,8773,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.71,1
Main codec camera,,Camera,,B1AB40D00048,,,,107484,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00107,TANDBERG Codec C40,9541329,V01.PRO.TMD.MT.R01,107485,Telehealth Patient Cart System,Education,8663,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.55,1
Main codec camera,,Camera,,B1AB39D00350,,,,107485,Telehealth Patient Cart System,Education,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00123,TANDBERG Codec C40,9500309,V01.TOG.TMH.CBOC.BAN.R1306,107486,Telehealth Patient Cart System,Education,10092,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.154.36,1
Main codec camera,,Camera,,B1AB40D00065,,,,107486,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00118,TANDBERG Codec C40,9500311,V01.TOG.TMD.CBOC.PORT.R140,107487,Telehealth Patient Cart System,Education,8612,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.194.37,1
Main codec camera,,Camera,,B1AB40D00064,,,,107487,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00122,TANDBERG Codec C40,9500326,V01.TOG.TMH.CBOC.R1306,107488,Telehealth Patient Cart System,Education,12505,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.193.74,1
Main codec camera,,Camera,,B1AB41D00283,,,,107488,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00153,,,,107489,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00040,,,,107489,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00082,TANDBERG Codec C40,9500318,V01.TOG.TMD.CBOC.SAC.R259,107490,Telehealth Patient Cart System,Education,13633,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.194.163,1
Main codec camera,,Camera,,B1AB40D00012,,,,107490,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00112,TANDBERG Codec C40,9500296,V01.TOG.TMD.B206.R112A,107491,Telehealth Patient Cart System,Education,12881,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.170.244,1
Main codec camera,,Camera,,B1AB41D00352,,,,107491,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00157,TANDBERG Codec C40,9500332,V01.TOG.TMD.CBOC.CAL.R111,107493,Telehealth Patient Cart System,Education,13409,402,Togus VA Medical Center,518-V10027,,10.14.132.39,1
